Country,Soccer League,2012 Expenditure,2017 Expenditure,Expenditure log change,2012 Income,2017 Income,Income log change,Europe,Asia,America
United Kingdom, Premier League/ Championship/ Scottish Premiership/ League One,872.1,1849.26,1.120467836,517.04,1192.25,1.305914436,1,0,0
Italy, Serie A/ Serie B,521.16,835.38,0.6029242459,503.72,715.01,0.4194592234,1,0,0
France, Ligue 1/ Ligue 2,286.35,683.56,1.387148594,286.76,606.73,1.115811131,1,0,0
Germany, 1.Bundesliga/ 2.Bundesliga,286.24,631.19,1.205107602,212.44,557.2,1.622858219,1,0,0
Spain,LaLiga/ Laliga2,159.66,630.01,2.945947639,284.76,714.24,1.508217446,1,0,0
Russia, Premier Liga,321.38,124.1,-0.61385276,82.61,46,-0.4431666868,1,0,0
Turkey, Süper Lig,113.32,94.63,-0.1649311684,48.48,79.51,0.6400577558,1,0,0
Belgium, Jupiler Pro League,43.49,76.57,0.7606346287,50.37,136.83,1.716497915,1,0,0
Portugal, Liga NOS / Ledman Liga Pro,63.47,79.99,0.2602804475,181.13,312.57,0.7256666483,1,0,0
Netherlands, Eredivisie / Jupiler League,47.75,69.21,0.4494240838,113.65,210.4,0.8512978443,1,0,0
Argentina, Primera División,21.26,56.04,1.63593603,53.1,131.2,1.470809793,0,0,1
China, Chinese Super League / China League One,64.2,58.85,-0.08333333333,18.33,46.19,1.519912711,0,1,0
Greece, Super League,5.97,30.2,4.058626466,14.61,29.25,1.002053388,1,0,0
Saudi Arabia, Saudi Professional League,26.63,20.77,-0.2200525723,5.89,,0,0,1,0
Brazil, Campeonato Brasileiro Série A,108.92,19.1,-0.824641939,209.2,124.28,-0.4059273423,0,0,1
Switzerland, Raiffeisen Super League,16.26,15.32,-0.05781057811,33.03,37.15,0.1247350893,1,0,0
Czech Republic, HET Liga,4.93,13.32,1.701825558,7.56,23.65,2.128306878,1,0,0
Denmark, Alka Superligaen,5.89,12,1.037351443,25.47,26.05,0.0227718885,1,0,0
United States, Major League Soccer,7.12,11.63,0.6334269663,6.15,1.2,-0.8048780488,0,0,1
Romania, Liga 1,10.27,9.57,-0.06815968841,24.67,15.34,-0.3781921362,1,0,0
Colombia, Liga Águila I,1.5,8.73,4.82,6.7,19.88,1.967164179,0,0,1
UAE, United Arab Emirates Arabian Gulf League,17.3,7.8,-0.549132948,9.1,5,-0.4505494505,0,1,0
Egypt, Egyptian Premier League,745,7,-0.9906040268,6.15,5.84,-0.05040650407,0,0,0
Israel, Ligat ha'Al,4.04,6.78,0.6782178218,7.21,7.83,0.08599167822,1,0,0
Austria, Bundesliga,18.1,6.28,-0.653038674,4.71,36.52,6.753715499,1,0,0
Poland, Lotto Ekstraklasa,2.86,5.31,0.8566433566,14.07,23.31,0.6567164179,1,0,0
Sweden, Allsvenskan,1.35,4.3,2.185185185,13.72,12.95,-0.05612244898,1,0,0
Serbia, SuperLiga,1.68,4.1,1.44047619,10.98,28.05,1.554644809,1,0,0
Norway, Eliteserien,9.48,4.04,-0.5738396624,30.08,8.38,-0.7214095745,1,0,0
Japan, J1 League,3.2,3.85,0.203125,9.57,2.75,-0.7126436782,0,1,0
Croatia, 1.HNL,5.6,3.69,-0.3410714286,31.76,34.5,0.0862720403,1,0,0
Ukraine, Premier Liga,79.87,3.5,-0.9561787905,68.52,42.1,-0.3855808523,1,0,0
Bulgaria, Parva Liga,3.55,3.2,-0.0985915493,5.23,15.64,1.990439771,1,0,0
Cyprus, First Division,875,2.7,-0.9969142857,4.02,2.9,-0.2786069652,1,0,0
Hungary, Nemzeti Bajnokság,1.11,2.13,0.9189189189,1.29,4.33,2.356589147,1,0,0
Slovak Republic, Fortuna Liga,0.31,2.11,5.806451613,1.39,1.95,0.4028776978,1,0,0
Qatar, Qatar Stars League,26.9,1.6,-0.9405204461,5.25,0.3,-0.9428571429,0,1,0
Uruguay, Primera Division Clausura,,1.4,0,18.08,18.3,0.01216814159,0,0,1
South Africa, ABSA Premiership,3.09,1.39,-0.5501618123,2.04,3.43,0.681372549,0,0,0
Tunisia, Ligue Professionelle 1,10.71,1.36,-0.873015873,11.95,848,69.9623431,0,0,0